trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1667,False,"{'a': 0.3, 'e': 0.1888440841914406}",20,13,12.49739100202271,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1668,False,"{'a': 0.3, 'e': 0.18865524010724916}",25,3,-18.56904149973145,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
1669,False,"{'a': 0.3, 'e': 0.1884665848671419}",25,19,11.919406526048455,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1670,False,"{'a': 0.3, 'e': 0.18827811828227475}",20,12,5.796702280435015,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1671,False,"{'a': 0.3, 'e': 0.1880898401639925}",20,10,16.00976642827966,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1672,False,"{'a': 0.3, 'e': 0.1879017503238285}",30,16,17.031438148176527,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1673,False,"{'a': 0.3, 'e': 0.18771384857350468}",25,4,-65.28315453262785,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
1674,False,"{'a': 0.3, 'e': 0.18752613472493115}",20,14,12.204341660505799,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1675,False,"{'a': 0.3, 'e': 0.18733860859020623}",25,15,-2.0325080642703464,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1676,False,"{'a': 0.3, 'e': 0.18715126998161602}",25,8,-20.72754510925169,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
1677,False,"{'a': 0.3, 'e': 0.1869641187116344}",25,10,28.74263143385175,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1678,False,"{'a': 0.3, 'e': 0.18677715459292277}",25,16,-7.1128078126147445,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
1679,False,"{'a': 0.3, 'e': 0.18659037743832985}",20,11,14.823326592528929,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1680,False,"{'a': 0.3, 'e': 0.18640378706089153}",25,0,16.18576150776408,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
1681,False,"{'a': 0.3, 'e': 0.18621738327383064}",20,11,15.074799423080998,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1682,False,"{'a': 0.3, 'e': 0.1860311658905568}",25,16,16.543973871405303,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1683,False,"{'a': 0.3, 'e': 0.18584513472466624}",30,10,-9.4966317832026,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
1684,False,"{'a': 0.3, 'e': 0.18565928958994157}",30,16,23.99829364358597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1685,False,"{'a': 0.3, 'e': 0.18547363030035163}",20,11,9.69221215726338,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1686,False,"{'a': 0.3, 'e': 0.18528815667005127}",20,8,23.21408344734274,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1687,False,"{'a': 0.3, 'e': 0.18510286851338123}",20,8,20.923498579368,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1688,False,"{'a': 0.3, 'e': 0.18491776564486784}",20,15,2.1758580060175183,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1689,False,"{'a': 0.3, 'e': 0.18473284787922298}",25,9,-26.856251670042823,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
1690,False,"{'a': 0.3, 'e': 0.18454811503134375}",25,7,2.7490249163353715,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1691,False,"{'a': 0.3, 'e': 0.18436356691631242}",20,1,4.262897756123212,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
1692,False,"{'a': 0.3, 'e': 0.1841792033493961}",25,20,10.63000178840938,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1693,False,"{'a': 0.3, 'e': 0.1839950241460467}",30,18,15.24115325149899,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1694,False,"{'a': 0.3, 'e': 0.18381102912190067}",35,10,47.1953896267246,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
1695,False,"{'a': 0.3, 'e': 0.18362721809277877}",20,12,19.03477420578692,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1696,False,"{'a': 0.3, 'e': 0.18344359087468598}",25,14,19.880145203504743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1697,False,"{'a': 0.3, 'e': 0.1832601472838113}",25,15,15.058116858059075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1698,False,"{'a': 0.3, 'e': 0.18307688713652748}",20,9,-21.80752426176011,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1699,False,"{'a': 0.3, 'e': 0.18289381024939094}",30,8,37.601626217778175,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1700,False,"{'a': 0.3, 'e': 0.18271091643914156}",25,15,19.204359506422303,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1701,False,"{'a': 0.3, 'e': 0.18252820552270244}",30,16,22.51293767945549,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1702,False,"{'a': 0.3, 'e': 0.1823456773171797}",25,12,10.283035245199663,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1703,False,"{'a': 0.3, 'e': 0.18216333163986254}",30,16,24.449947323746766,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1704,False,"{'a': 0.3, 'e': 0.18198116830822267}",20,6,14.24651837313288,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1705,False,"{'a': 0.3, 'e': 0.18179918713991444}",35,9,20.815919890204427,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
1706,False,"{'a': 0.3, 'e': 0.18161738795277454}",20,6,12.976698319545719,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1707,False,"{'a': 0.3, 'e': 0.18143577056482177}",30,16,7.316026696698773,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1708,False,"{'a': 0.3, 'e': 0.18125433479425695}",20,0,-8.790304852607143,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1709,False,"{'a': 0.3, 'e': 0.1810730804594627}",25,13,-13.627483128807334,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
1710,False,"{'a': 0.3, 'e': 0.1808920073790032}",25,12,20.38505417555275,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1711,False,"{'a': 0.3, 'e': 0.1807111153716242}",25,13,20.767581587432616,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1712,False,"{'a': 0.3, 'e': 0.1805304042562526}",20,16,7.8244950908689015,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1713,False,"{'a': 0.3, 'e': 0.18034987385199633}",25,12,25.540498480672014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1714,False,"{'a': 0.3, 'e': 0.18016952397814434}",25,17,2.0014206145707263,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1715,False,"{'a': 0.3, 'e': 0.1799893544541662}",25,16,7.090777771203535,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1716,False,"{'a': 0.3, 'e': 0.17980936509971204}",20,0,27.770125332485023,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1717,False,"{'a': 0.3, 'e': 0.1796295557346123}",25,9,25.465981295322617,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1718,False,"{'a': 0.3, 'e': 0.1794499261788777}",25,2,40.441359111841855,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1719,False,"{'a': 0.3, 'e': 0.17927047625269885}",20,13,-5.178245437800781,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
1720,False,"{'a': 0.3, 'e': 0.17909120577644613}",25,9,15.978321932450369,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1721,False,"{'a': 0.3, 'e': 0.1789121145706697}",30,16,3.686824701788556,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1722,False,"{'a': 0.3, 'e': 0.17873320245609903}",20,16,10.904840805062383,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1723,False,"{'a': 0.3, 'e': 0.1785544692536429}",20,12,5.017242450716928,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1724,False,"{'a': 0.3, 'e': 0.17837591478438927}",25,12,18.833666669771045,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1725,False,"{'a': 0.3, 'e': 0.17819753886960488}",25,20,9.121288667737664,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1726,False,"{'a': 0.3, 'e': 0.17801934133073527}",25,13,23.261893845276713,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1727,False,"{'a': 0.3, 'e': 0.17784132198940455}",25,4,34.42650610325746,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1728,False,"{'a': 0.3, 'e': 0.17766348066741514}",20,4,-5.3690297728155,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
1729,False,"{'a': 0.3, 'e': 0.17748581718674772}",30,15,29.216523469987862,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1730,False,"{'a': 0.3, 'e': 0.17730833136956098}",20,13,6.181000402909394,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1731,False,"{'a': 0.3, 'e': 0.17713102303819142}",30,11,25.188648915173616,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
1732,False,"{'a': 0.3, 'e': 0.1769538920151532}",20,0,20.28217209319224,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1733,False,"{'a': 0.3, 'e': 0.17677693812313808}",25,8,-40.04854406819941,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
